,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
56,Arizona,Isaac E Imes,Public,Glendale,Maricopa,61.0,100.0,92.06,4.33,2.0,7.53
57,Arizona,J B Sutton Elementary,Public,Phoenix,Maricopa,108.0,100.0,92.06,4.33,0.93,7.53
58,Arizona,J Robert Hendricks Elementary,Public,Tucson,Pima,73.0,100.0,92.06,4.33,2.0,7.53
59,Arizona,Jack L Kuban Elementary,Public,Phoenix,Maricopa,38.0,100.0,92.06,4.33,2.63,7.53
60,Arizona,Jeehdeez'A Academy (Low Mountain),Public,Low Mountain,Navajo,22.0,100.0,92.06,4.33,2.0,7.53
61,Arizona,Jefferson Elementary,Public,Mesa,Maricopa,56.0,100.0,92.06,4.33,2.0,7.53
62,Arizona,John E White Elementary,Public,Tucson,Pima,116.0,100.0,92.06,4.33,2.0,7.53
63,Arizona,Joseph Zito Elementary,Public,Phoenix,Maricopa,84.0,100.0,92.06,4.33,2.0,7.53
64,Arizona,Kenilworth Elementary,Public,Phoenix,Maricopa,58.0,100.0,92.06,4.33,2.0,7.53
65,Arizona,Kyrene De Las Brisas,Public,Chandler,Maricopa,94.0,100.0,92.06,4.33,2.0,7.53
66,Arizona,La Paloma Academy - Lakeside,Charter,Tucson,Pima,105.0,100.0,92.06,4.33,2.0,7.53
67,Arizona,Laura N. Banks Elementary,Public,Tucson,Pima,40.0,100.0,92.06,4.33,2.0,7.53
68,Arizona,Legacy Traditional School - Northwest Tucson,Charter,Tucson,Pima,125.0,100.0,92.06,4.33,2.0,8.8
69,Arizona,Leupp Public,Public,Leupp,Coconino,22.0,100.0,92.06,4.33,2.0,7.53
70,Arizona,Lincoln Elementary,Public,Nogales,Santa Cruz,64.0,100.0,92.06,4.33,2.0,7.53
71,Arizona,Lineweaver Elementary,Public,Tucson,Pima,84.0,100.0,92.06,4.33,2.0,7.53
72,Arizona,Little Red Schoolhouse,Public,Nogales,Santa Cruz,21.0,100.0,92.06,4.33,2.0,7.53
73,Arizona,Longfellow Elementary,Public,Mesa,Maricopa,65.0,100.0,92.06,4.33,2.0,7.53
74,Arizona,Loretto Catholic,Private,Douglas,Cochise,21.0,100.0,92.06,4.33,9.52,7.53
75,Arizona,Los Ninos Elementary,Public,Tucson,Pima,60.0,100.0,92.06,4.33,2.0,7.53
76,Arizona,Lowell Elementary,Public,Mesa,Maricopa,66.0,100.0,92.06,4.33,1.52,7.53
77,Arizona,Lynn Urquides Elementary,Public,Tucson,Pima,79.0,100.0,92.06,4.33,2.0,7.53
78,Arizona,Many Farms Community,Public,Many Farms,Apache,31.0,100.0,92.06,4.33,2.0,7.53
79,Arizona,Many Farms Public,Public,Chinle,Apache,57.0,100.0,92.06,4.33,2.0,7.53
80,Arizona,Mary C O'Brien Elementary,Public,Casa Grande,Pinal,22.0,100.0,92.06,4.33,2.0,7.53
81,Arizona,Mary Mcleod Bethune,Public,Phoenix,Maricopa,40.0,100.0,92.06,4.33,2.0,7.53
82,Arizona,Mccartney Ranch Elementary,Public,Casa Grande,Pinal,112.0,100.0,92.06,4.33,2.0,7.53
83,Arizona,Miles-Exploratory Learning Center,Public,Tucson,Pima,28.0,100.0,92.06,4.33,2.0,3.57
84,Arizona,Miller Elementary,Public,Tucson,Pima,89.0,100.0,92.06,4.33,2.0,7.53
85,Arizona,Mission View Elementary,Public,Tucson,Pima,27.0,100.0,92.06,4.33,2.0,7.53
86,Arizona,Mitchell Elementary,Public,Phoenix,Maricopa,58.0,100.0,92.06,4.33,2.0,7.53
87,Arizona,Morgan Maxwell,Public,Tucson,Pima,27.0,100.0,92.06,4.33,2.0,7.53
88,Arizona,Mountain View Elementary,Public,Rio Rico,Santa Cruz,44.0,100.0,92.06,4.33,4.55,2.27
